MES,AÑO,EMPLEADORES_COTIZANTES
Junio,2003,11510
Julio,2003,11316
Agosto,2003,11181
Septiembre,2003,11131
Octubre,2003,11041
Noviembre,2003,10992
Diciembre,2003,10946
Enero,2004,10979
Febrero,2004,10944
Marzo,2004,10900
Abril,2004,10896
Mayo,2004,10853
Junio,2004,10839
Julio,2004,10770
Agosto,2004,10759
Septiembre,2004,10813
Octubre,2004,10807
Noviembre,2004,10818
Diciembre,2004,10801
Enero,2005,12107
Febrero,2005,11980
Marzo,2005,11900
Abril,2005,11829
Mayo,2005,11770
Junio,2005,11754
Julio,2005,13819
Agosto,2005,20290
Septiembre,2005,20537
Octubre,2005,20703
Noviembre,2005,20836
Diciembre,2005,20871
Enero,2006,21297
Febrero,2006,21473
Marzo,2006,21668
Abril,2006,21789
Mayo,2006,21948
Junio,2006,22070
Julio,2006,22126
Agosto,2006,22262
Septiembre,2006,22466
Octubre,2006,22705
Noviembre,2006,22822
Diciembre,2006,22856
Enero,2007,24284
Febrero,2007,24929
Marzo,2007,25559
Abril,2007,25956
Mayo,2007,26376
Junio,2007,26676
Julio,2007,26870
Agosto,2007,27607
Septiembre,2007,28093
Octubre,2007,28519
Noviembre,2007,28850
Diciembre,2007,28849
Enero,2008,29339
Febrero,2008,29728
Marzo,2008,29970
Abril,2008,30336
Mayo,2008,30566
Junio,2008,30769
Julio,2008,30937
Agosto,2008,31026
Septiembre,2008,31211
Octubre,2008,31422
Noviembre,2008,31559
Diciembre,2008,31494
Enero,2009,31670
Febrero,2009,31924
Marzo,2009,32091
Abril,2009,31886
Mayo,2009,30638
Junio,2009,31795
Julio,2009,38013
Agosto,2009,38731
Septiembre,2009,39045
Octubre,2009,39539
Noviembre,2009,39941
Diciembre,2009,40185
Enero,2010,40626
Febrero,2010,41064
Marzo,2010,40206
Abril,2010,39686
Mayo,2010,39624
Junio,2010,39688
Julio,2010,39841
Agosto,2010,40000
Septiembre,2010,40336
Octubre,2010,40661
Noviembre,2010,40916
Diciembre,2010,41121
Enero,2011,41327
Febrero,2011,41614
Marzo,2011,41973
Abril,2011,42025
Mayo,2011,42154
Junio,2011,42239
Julio,2011,42323
Agosto,2011,42473
Septiembre,2011,42621
Octubre,2011,42719
Noviembre,2011,42832
Diciembre,2011,42894
Enero,2012,43034
Febrero,2012,43232
Marzo,2012,43476
Abril,2012,43600
Mayo,2012,43803
Junio,2012,43992
Julio,2012,44179
Agosto,2012,44232
Septiembre,2012,44490
Octubre,2012,45068
Noviembre,2012,45573
Diciembre,2012,45849
Enero,2013,46388
Febrero,2013,46879
Marzo,2013,47533
Abril,2013,48262
Mayo,2013,49107
Junio,2013,49898
Julio,2013,50450
Agosto,2013,51012
Septiembre,2013,51551
Octubre,2013,52176
Noviembre,2013,52594
Diciembre,2013,52808
Enero,2014,53203
Febrero,2014,53619
Marzo,2014,54231
Abril,2014,54723
Mayo,2014,55162
Junio,2014,55689
Julio,2014,56158
Agosto,2014,56577
Septiembre,2014,57043
Octubre,2014,57652
Noviembre,2014,58011
Diciembre,2014,58144
Enero,2015,58411
Febrero,2015,58844
Marzo,2015,59389
Abril,2015,59903
Mayo,2015,60463
Junio,2015,60805
Julio,2015,61182
Agosto,2015,61140
Septiembre,2015,61175
Octubre,2015,61411
Noviembre,2015,61611
Diciembre,2015,61793
Enero,2016,61969
Febrero,2016,62444
Marzo,2016,62743
Abril,2016,62955
Mayo,2016,63318
Junio,2016,63897
Julio,2016,64242
Agosto,2016,64629
Septiembre,2016,65062
Octubre,2016,65345
Noviembre,2016,65599
Diciembre,2016,65730
Enero,2017,65938
Febrero,2017,66275
Marzo,2017,66825
Abril,2017,67091
Mayo,2017,67525
Junio,2017,67868
Julio,2017,68192
Agosto,2017,68483
Septiembre,2017,68675
Octubre,2017,69082
Noviembre,2017,69359
Diciembre,2017,69451
Enero,2018,69817
Febrero,2018,70197
Marzo,2018,70683
Abril,2018,71000
Mayo,2018,71553
Junio,2018,72077
Julio,2018,72524
Agosto,2018,73076
Septiembre,2018,73415
Octubre,2018,73924
Noviembre,2018,74338
Diciembre,2018,74563
Enero,2019,75054
Febrero,2019,75557
Marzo,2019,76162
Abril,2019,76578
Mayo,2019,77081
Junio,2019,77435
Julio,2019,77874
Agosto,2019,78338
Septiembre,2019,78851
Octubre,2019,79297
Noviembre,2019,78841
Diciembre,2019,78581
Enero,2020,78732
Febrero,2020,79159
Marzo,2020,78713
Abril,2020,55375
Mayo,2020,55343
Junio,2020,65970
Julio,2020,69690
Agosto,2020,71041
Septiembre,2020,72581
Octubre,2020,74270
Noviembre,2020,75484
Diciembre,2020,76203
Enero,2021,77297
Febrero,2021,79129
Marzo,2021,80914
Abril,2021,82574
Mayo,2021,84114
Junio,2021,84927
Julio,2021,85934
Agosto,2021,86650
Septiembre,2021,87322
Octubre,2021,88075
Noviembre,2021,88792
Diciembre,2021,89310
Enero,2022,89076
Febrero,2022,89705
Marzo,2022,90613
Abril,2022,90861
Mayo,2022,91691
Junio,2022,92474
Julio,2022,92902
Agosto,2022,93446
Septiembre,2022,94020
Octubre,2022,94508
Noviembre,2022,94955
Diciembre,2022,95168
Enero,2023,95215
Febrero,2023,95681
Marzo,2023,96416
Abril,2023,96923
Mayo,2023,97459
Junio,2023,98106
Julio,2023,98511
Agosto,2023,99198
Septiembre,2023,100024
Octubre,2023,100868
Noviembre,2023,101467
Diciembre,2023,101815
Enero,2024,102302
Febrero,2024,102882
Marzo,2024,103411
Abril,2024,103182
Mayo,2024,103423
Junio,2024,103980
Julio,2024,104648
Agosto,2024,105124
Septiembre,2024,105747
Octubre,2024,106271
Noviembre,2024,106595
Diciembre,2024,106710
Enero,2025,106917
Febrero,2025,107127
Marzo,2025,107545
Abril,2025,107881
Mayo,2025,108420
Junio,2025,108897
Julio,2025,109478
Agosto,2025,110083
Septiembre,2025,110523
