MES,AÑO,EMPRESA_PRIVADA,PUBLICA_CENTRALIZADA,PUBLICA_DESCENTRALIZADA,TOTAL
Junio,2003,350596,176047,35511,562154
Julio,2003,358110,177775,37644,573529
Agosto,2003,356848,177940,34849,569637
Septiembre,2003,356027,175873,39602,571502
Octubre,2003,357475,130002,33195,520672
Noviembre,2003,359161,175903,32815,567879
Diciembre,2003,360846,175515,36104,572465
Enero,2004,362138,180882,37290,580310
Febrero,2004,364751,180744,36921,582416
Marzo,2004,367182,175299,37276,579757
Abril,2004,367633,187381,36907,591921
Mayo,2004,368528,177143,36970,582641
Junio,2004,372425,199730,38599,610754
Julio,2004,372114,188828,38234,599176
Agosto,2004,371358,187160,33357,591875
Septiembre,2004,370834,161264,29918,562016
Octubre,2004,370077,155689,31363,557129
Noviembre,2004,372498,127410,31795,531703
Diciembre,2004,371212,122793,31934,525939
Enero,2005,383192,175268,31395,589855
Febrero,2005,384794,118365,32000,535159
Marzo,2005,379823,182135,32727,594685
Abril,2005,381579,103019,32941,517539
Mayo,2005,378738,107121,33003,518862
Junio,2005,373425,187435,33616,594476
Julio,2005,567101,179432,57701,804234
Agosto,2005,620611,184418,61605,866634
Septiembre,2005,623805,103905,61855,789565
Octubre,2005,621572,181482,60739,863793
Noviembre,2005,628650,180831,61169,870650
Diciembre,2005,631408,179132,61785,872325
Enero,2006,632532,180491,68550,881573
Febrero,2006,638133,180335,69618,888086
Marzo,2006,643879,178793,70718,893390
Abril,2006,643852,183788,71168,898808
Mayo,2006,646601,181799,72574,900974
Junio,2006,648297,181730,72578,902605
Julio,2006,650427,180819,73174,904420
Agosto,2006,650928,179110,72032,902070
Septiembre,2006,655441,170933,79602,905976
Octubre,2006,658968,173380,78575,910923
Noviembre,2006,666140,173757,77736,917633
Diciembre,2006,665362,173996,76910,916268
Enero,2007,682417,172883,76684,931984
Febrero,2007,688553,173312,76234,938099
Marzo,2007,700350,175556,76405,952311
Abril,2007,704007,176120,76094,956221
Mayo,2007,704789,176655,76344,957788
Junio,2007,701684,176779,76680,955143
Julio,2007,700597,177370,76660,954627
Agosto,2007,714466,177504,88130,980100
Septiembre,2007,729397,178107,92032,999536
Octubre,2007,742345,179873,92272,1014490
Noviembre,2007,751183,183471,94303,1028957
Diciembre,2007,751793,184148,97047,1032988
Enero,2008,758631,185067,96673,1040371
Febrero,2008,766757,184697,97701,1049155
Marzo,2008,770639,184290,98103,1053032
Abril,2008,778583,185678,100471,1064732
Mayo,2008,779332,196947,91464,1067743
Junio,2008,780786,197704,91481,1069971
Julio,2008,780718,197269,89327,1067314
Agosto,2008,779567,196966,89355,1065888
Septiembre,2008,778324,198295,90189,1066808
Octubre,2008,776395,198185,91382,1065962
Noviembre,2008,775940,200134,91214,1067288
Diciembre,2008,777773,201055,91303,1070131
Enero,2009,773268,201583,92062,1066913
Febrero,2009,775893,202923,86972,1065788
Marzo,2009,780391,204030,85807,1070228
Abril,2009,774790,201937,90296,1067023
Mayo,2009,760916,203107,90198,1054221
Junio,2009,777796,202226,97895,1077917
Julio,2009,820391,203795,144376,1168562
Agosto,2009,823825,204873,145747,1174445
Septiembre,2009,825297,206096,141946,1173339
Octubre,2009,831235,208380,142094,1181709
Noviembre,2009,841767,208759,142691,1193217
Diciembre,2009,846955,209230,142742,1198927
Enero,2010,848904,209108,142343,1200355
Febrero,2010,862348,210204,143173,1215725
Marzo,2010,872562,210273,144695,1227530
Abril,2010,875239,210401,144712,1230352
Mayo,2010,880528,212783,142819,1236130
Junio,2010,878725,212985,141064,1232774
Julio,2010,882924,213293,139335,1235552
Agosto,2010,884682,214152,136871,1235705
Septiembre,2010,890613,213897,129885,1234395
Octubre,2010,897022,214541,130998,1242561
Noviembre,2010,907692,216147,131988,1255827
Diciembre,2010,915159,218443,132303,1265905
Enero,2011,916435,216626,131523,1264584
Febrero,2011,928406,215987,132553,1276946
Marzo,2011,939390,218887,132612,1290889
Abril,2011,932599,220730,132177,1285506
Mayo,2011,937305,221246,134443,1292994
Junio,2011,941867,222290,135923,1300080
Julio,2011,944420,221824,136425,1302669
Agosto,2011,947406,220379,137065,1304850
Septiembre,2011,950671,221337,136413,1308421
Octubre,2011,950301,222772,137704,1310777
Noviembre,2011,958654,223716,138339,1320709
Diciembre,2011,961151,224868,138918,1324937
Enero,2012,959375,226051,138289,1323715
