Empresa o Servicio,Licencias Nuevas,Renovacion,Cambio de Direccion ,Cambio de categoria,Periodo,Ano
Agencia de Viajes,9,11,0,0,Enero-Marzo,2018
Gift Shop,16,38,0,0,Enero-Marzo,2018
Hoteles,0,8,0,0,Enero-Marzo,2018
Bares y Restaurantes,2,4,0,0,Enero-Marzo,2018
Transporte Turistico,2,14,0,0,Enero-Marzo,2018
Agencia de Viajes,17,8,0,0,Abril-Junio,2018
Gift Shop,16,38,0,0,Abril-Junio,2018
Hoteles,0,8,0,0,Abril-Junio,2018
Bares y Restaurantes,2,4,0,0,Abril-Junio,2018
Transporte Turistico,2,14,0,0,Abril-Junio,2018
Agencia de Viajes,9,11,2,0,Julio-Septiembre,2018
Gift Shop,25,34,0,1,Julio-Septiembre,2018
Hoteles,3,17,0,0,Julio-Septiembre,2018
Bares y Restaurantes,4,3,0,0,Julio-Septiembre,2018
Transporte Turistico,10,19,0,0,Julio-Septiembre,2018
Agencia de Viajes,17,21,0,0,Octubre-Diciembre,2018
Gift Shop,11,18,0,0,Octubre-Diciembre,2018
Hoteles,1,19,0,0,Octubre-Diciembre,2018
Bares y Restaurantes,0,3,0,0,Octubre-Diciembre,2018
Transporte Turistico,11,17,0,0,Octubre-Diciembre,2018
Agencia de Viajes,21,10,1,0,Enero-Marzo,2019
Gift Shop,3,33,0,0,Enero-Marzo,2019
Hoteles,1,25,0,0,Enero-Marzo,2019
Bares y Restaurantes,6,7,0,0,Enero-Marzo,2019
Transporte Turistico,18,27,0,0,Enero-Marzo,2019
Agencia de Viajes,16,15,2,0,Abril-Junio,2019
Gift Shop,10,30,0,0,Abril-Junio,2019
Hoteles,0,12,0,0,Abril-Junio,2019
Bares y Restaurantes,10,30,0,0,Abril-Junio,2019
Transporte Turistico,12,30,0,1,Abril-Junio,2019
Spa,1,0,0,0,Abril-Junio,2019
Agencia de Viajes,11,20,3,0,Julio-Septiembre,2019
Gift Shop,6,28,0,0,Julio-Septiembre,2019
Hoteles,2,24,0,0,Julio-Septiembre,2019
Bares y Restaurantes,4,2,0,0,Julio-Septiembre,2019
Transporte Turistico,14,23,0,3,Julio-Septiembre,2019
