,,,,,,,,,
Licencias Emitidas 2022-2025,,,,,,,,,
Fecha de Emisión,Mes,Año,Provincia,Municipio,Barrio/Sector,Número de Licencia,Tipologia,Metros Cuadrados,Inversión Total
01/03/2022,ENERO,2022,SANTIAGO,PUÑAL,URBANIZACIÓN THOMÉN,22770 RN,VIVIENDAS,293.31,18067896
01/10/2022,ENERO,2022,SANTIAGO,SANTIAGO,URBANIZACIÓN PARAÍSO,22775 RN,APARTAMENTOS,1416.48,87255168
01/11/2022,ENERO,2022,HERMANAS MIRABAL,TENARES,CD MODELO TENARES,331 RNE,APARTAMENTOS,877.6,54060160
01/12/2022,ENERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ARROYO MANZANO,93894,COMBINADOS,7292.28,417118416
01/12/2022,ENERO,2022,SANTIAGO,SANTIAGO,LA ESMERALDA,22574 RN,COMERCIAL Y OFICINAS,9548.39,588180824
01/12/2022,ENERO,2022,SANTIAGO,SANTIAGO,RESIDENCIAL CORONA PLAZA,22774 RN,APARTAMENTOS,1463.07,90125112
01/12/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,PRADO ORIENTAL,93896,APARTAMENTOS,485.97,29935752
01/13/2022,ENERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,VILLA JUANA,54460-A,ESTRUCTURAS ESPECIALES,485,29876000
01/13/2022,ENERO,2022,SAN CRISTÓBAL,SAN CRISTÓBAL,MADRE VIEJA DEL NORTE,93897,APARTAMENTOS,1104.94,68064304
01/13/2022,ENERO,2022,SÁNCHEZ RAMÍREZ,COTUÍ,MONTE NEGRO,86793-S,ALMACENES,1925,118580000
01/13/2022,ENERO,2022,SANTIAGO,SANTIAGO,LOS ÁLAMOS,22772 RN,APARTAMENTOS,1001.81,61711496
01/13/2022,ENERO,2022,SANTIAGO,SANTIAGO,LOS SAMANES,22773 RN,VIVIENDAS,366.44,22572704
01/13/2022,ENERO,2022,SANTIAGO,SANTIAGO,QUINTAS LAS MERCEDES,22771 RN,VIVIENDAS,283.36,17454976
01/13/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,BRISA ORIENTAL,93895,VIVIENDAS,269.27,16587032
01/14/2022,ENERO,2022,DUARTE,SAN FRANCISCO DE MACORÍS,CRUCE DE MIRABEL,333 RNE,APARTAMENTOS,5164.3,318120880
01/14/2022,ENERO,2022,DUARTE,SAN FRANCISCO DE MACORÍS,URBANIZACIÓN TORIBIO CAMILO,334 RNE,VIVIENDAS,460.66,28376656
01/14/2022,ENERO,2022,ESPAILLAT,MOCA,LA PIRAGUA,22592 RN,APARTAMENTOS,3597.38,221598608
01/14/2022,ENERO,2022,HERMANAS MIRABAL,SALCEDO,JAYABO AFUERA,332 RNE,APARTAMENTOS,335,20636000
01/14/2022,ENERO,2022,LA ALTAGRACIA,HIGÜEY,LA RINCONADA,93700,APARTAMENTOS,17998.03,1108678648
01/14/2022,ENERO,2022,SANTIAGO,SANTIAGO,ARROYO HONDO ABAJO,92502,APARTAMENTOS,21653.97,1238607084
01/17/2022,ENERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LA ESPERILLA,93899,APARTAMENTOS,8912.25,548994600
01/17/2022,ENERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,MIRADOR SUR,93901,APARTAMENTOS,1227.63,75622008
01/17/2022,ENERO,2022,SAMANÁ,LAS TERRENAS,ABRA GRANDE,93902,COMBINADOS,2121.23,130667768
01/17/2022,ENERO,2022,SAMANÁ,LAS TERRENAS,PUNTA BONITA,93900,HOSPEDAJE,1140.57,70259112
01/17/2022,ENERO,2022,SANTIAGO,PUÑAL,URBANIZACIÓN THOMÉN,22777 RN,VIVIENDAS,182.27,11227832
01/18/2022,ENERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,QUISQUEYA,93905,APARTAMENTOS,9602.36,591505376
01/18/2022,ENERO,2022,EL SEIBO,MICHES,ALTAMIRA,93907,HOSPEDAJE,116132.76,7153778016
01/18/2022,ENERO,2022,SAN PEDRO DE MACORÍS,RAMÓN SANTANA,EL SOCO,93903,VIVIENDAS,315,19404000
01/18/2022,ENERO,2022,SANTIAGO,SANTIAGO,BRISAS DEL ESTE,22778 RN,VIVIENDAS,391.42,24111472
01/19/2022,ENERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,CERROS DE ARROYO HONDO,93906,VIVIENDAS,615.35,37905560
01/20/2022,ENERO,2022,SANTIAGO,SANTIAGO,RINCÓN LARGO,22780 RN,VIVIENDAS,853.69,52587304
01/20/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,URBANIZACIÓN MARBELLA III,93908,APARTAMENTOS,853,52544800
