SECTOR;TAMAÑO EMPRESA;AREAS;MES;AÑO;SALARIO MINIMO;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Enero;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Febrero;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Marzo;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Abril;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Mayo;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Junio;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Julio;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Agosto;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Septiembre;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Octubre;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Noviembre;2000;2,895;
Sector privado;Empresa grande;Empresas del sector no sectorizado;Diciembre;2000;2,895;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Enero;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Febrero;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Marzo;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Abril;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Mayo;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Junio;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Julio;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Agosto;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Septiembre;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Octubre;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Noviembre;2000;1,987;
Sector privado;Empresa mediana;Empresas del sector no sectorizado;Diciembre;2000;1,987;
Sector privado;Empresa pequeña;Empresas del sector no sectorizado;Enero;2000;1,757;
Sector privado;Empresa pequeña;Empresas del sector no sectorizado;Febrero;2000;1,757;
Sector privado;Empresa pequeña;Empresas del sector no sectorizado;Marzo;2000;1,757;
