Anos;Empresas;Empleos;Export Millones US;Salario Prom Tecnicos;Salario Prom Operarios
2003;13;5743;203;2286;936
2004;12;7086;235;2644;1205
2005;15;7266;315;3048;1383
2006;14;6220;276;2827;1446
2007;17;6635;259;3160;1426
2008;15;7105;235;3553;1583
2009;18;6623;201;3796;1597
2010;19;8058;313;4055;1686
2011;19;11691;376;4186;1852
2012;23;13389;407;3884;1841
2013;22;13260;422;4829;2455
2014;30;17021;450;4721;2415
2015;31;18140;443;4896;2555
2016;29;16699;425;5188;2575
2017;28;13807;388;4863;2830
2018;26;11965;352;5714;2852
2019;24;10848;280;6640;3008
2020;24;6754;202;6586;3185
2021;26;7198;201;6500;3442
2022;27;6956;205;6810;3761
2023;27;5084;166;7404;4403
