Anos;Empresas;Empleos;Export Millones US;Salario Prom Tecnicos;Salario Prom Operarios
2003;14;9084;321;1969;962
2004;14;7737;583;2407;1074
2005;17;8832;647;3968;1586
2006;18;10128;713;3459;1424
2007;18;11047;774;3662;1530
2008;21;12034;856;3480;1405
2009;22;12704;963;3700;1476
2010;24;14633;1071;4381;1619
2011;27;16584;1177;4380;1805
2012;25;17841;1213;4077;1904
2013;27;17937;1231;5111;2158
2014;28;19338;1274;5741;2387
2015;30;19942;1361;5523;2456
2016;31;21674;1497;5831;2591
2017;31;22666;1485;6110;2765
2018;33;23798;1557;6432;2831
2019;34;25370;1659;6639;3197
2020;35;26313;1810;6955;3483
2021;37;28688;1929;7319;3677
2022;38;30862;2248;7577;4103
2023;40;32358;2489;8155;4602
