Anos;Empresas;Empleos;Export Millones US;Salario Prom Tecnicos;Salario Prom Operarios
2003;26;9177;578;1992;875
2004;30;9420;631;2560;1122
2005;27;8933;700;2632;1295
2006;28;11542;696;2714;1404
2007;25;10970;743;2153;1374
2008;25;11959;795;3623;1504
2009;24;7971;566;4112;1613
2010;22;7977;582;4249;1632
2011;23;6915;604;4417;1871
2012;20;7247;639;3398;1684
2013;20;8120;658;3854;2151
2014;21;8489;753;4111;2127
2015;22;9103;707;4518;2331
2016;20;9401;751;4754;2354
2017;20;10424;883;5378;2545
2018;23;11480;1150;5714;2852
2019;23;11355;1067;5741;2948
2020;22;11427;1105;5909;3183
2021;23;10908;1153;6120;3353
2022;25;11120;1197;6492;3763
2023;28;10403;1173;7033;4096
