Anos;Empresas;Empleos;Export Millones US;Salario Prom Tecnicos;Salario Prom Operarios
2003;21;3662;467;1547;887
2004;22;4169;601;2139;1040
2005;24;3661;603;2506;1169
2006;22;3566;626;2792;1384
2007;21;3465;678;2972;1485
2008;24;3230;505;2987;1495
2009;21;2488;436;3015;1524
2010;19;2166;435;3424;1642
2011;18;1784;488;3493;1719
2012;17;1948;405;3553;1889
2013;17;2366;316;4516;2169
2014;18;2698;284;5093;2272
2015;16;3012;370;5248;2671
2016;15;2799;407;5439;2805
2017;14;2877;422;5085;2910
2018;14;2768;491;4765;2779
2019;14;2640;531;5592;2894
2020;13;2002;429;5741;3019
2021;13;2584;763;6001;3202
2022;14;2252;730;6494;3749
2023;15;2064;712;6798;4227
