Anos;Empresas;Empleos;Export. (Millones US$);Salario Prom Tecnicos;Salario Prom Operarios;;
2003;25;11004;288;2195;1096;;
2004;33;12292;309;2414;1291;;
2005;40;14607;334;2811;1434;;
2006;50;17956;367;3168;1545;;
2007;46;18125;394;3358;1649;;
2008;47;19115;430;3524;1712;;
2009;47;17860;404;3867;1744;;
2010;51;19597;382;3806;1882;;
2011;58;19693;397;3642;1946;;
2012;62;21211;476;4011;1938;;
2013;62;23272;532;4287;2241;;
2014;64;23232;587;4757;2263;;
2015;69;25293;660;4787;2368;;
2016;73;25442;696;5144;2401;;
2017;80;27272;798;5368;2589;;
2018;81;29831;850;5433;2783;;
2019;88;32327;885;5608;2929;;
2020;99;36063;897;5762;3048;;
2021;121;38749;1199;5908;3252;;
2022;130;38278;1218;6530;3874;;
2023;152;42458;1208;6863;4196;;
