Anos;Empresas;Empleos;Export Millones US;Salario Prom Tecnicos;Salario Prom Operarios
2003;269;119101;2196;1725;925
2004;281;131978;2121;2341;1024
2005;226;91491;1905;2591;1229
2006;198;79365;1734;2649;1314
2007;170;58546;1367;3137;1403
2008;143;49735;1166;3179;1414
2009;131;41285;934;3290;1588
2010;120;41882;946;3520;1623
2011;120;40580;1207;3551;1727
2012;111;40666;1123;4107;2005
2013;111;41575;1219;4275;2076
2014;110;44406;1242;4268;2179
2015;98;44774;1248;4672;2413
2016;102;43824;1103;4797;2471
2017;100;40864;1097;5324;2651
2018;102;41370;1107;5522;2862
2019;103;40065;1038;5813;2960
2020;87;31273;689;5896;3063
2021;86;33749;893;6182;3259
2022;99;36496;1019;6428;3848
2023;106;36634;930;7197;4216
